,base,acuracia-teste,precision-covid-teste,recall-covid-teste,f1-covid-teste,precision-non-covid-teste,recall-non-covid-teste,f1-non-covid-teste,conf-matrix-teste,acuracia-val,precision-covid-val,recall-covid-val,f1-covid-val,precision-non-covid-val,recall-non-covid-val,f1-non-covid-val,conf-matrix-val
28,mobilenet,0.907928388746803,0.9602888086642599,0.9140893470790378,0.9366197183098591,0.7807017543859649,0.89,0.8317757009345794,"[[ 89  11]
 [ 25 266]]",0.9608938547486033,0.9102564102564102,1.0,0.953020134228188,1.0,0.9351851851851852,0.9665071770334929,"[[101   7]
 [  0  71]]"
29,mobilenet,0.8081841432225064,0.9954128440366973,0.7457044673539519,0.8526522593320235,0.5722543352601156,0.99,0.7252747252747254,"[[ 99   1]
 [ 74 217]]",0.9162011173184358,1.0,0.7887323943661971,0.8818897637795275,0.8780487804878049,1.0,0.9350649350649352,"[[108   0]
 [ 15  56]]"
0,mobilenet_gauss,0.8951406649616368,0.9664179104477612,0.8900343642611683,0.926654740608229,0.7398373983739838,0.91,0.8161434977578476,"[[ 91   9]
 [ 32 259]]",0.9333333333333333,0.9,0.9375,0.9183673469387755,0.9571428571428572,0.9305555555555556,0.943661971830986,"[[201  15]
 [  9 135]]"
1,mobilenet_gauss,0.8670076726342711,0.9760956175298805,0.8419243986254296,0.9040590405904059,0.6714285714285714,0.94,0.7833333333333332,"[[ 94   6]
 [ 46 245]]",0.9333333333333333,0.9545454545454546,0.875,0.9130434782608695,0.9210526315789473,0.9722222222222222,0.9459459459459458,"[[210   6]
 [ 18 126]]"
2,mobilenet_gauss,0.8721227621483376,0.9725490196078431,0.852233676975945,0.9084249084249084,0.6838235294117647,0.93,0.788135593220339,"[[ 93   7]
 [ 43 248]]",0.9361111111111111,0.935251798561151,0.9027777777777778,0.9187279151943463,0.9366515837104072,0.9583333333333334,0.9473684210526316,"[[207   9]
 [ 14 130]]"
3,mobilenet_gauss,0.8721227621483376,0.9762845849802372,0.8487972508591065,0.9080882352941176,0.6811594202898551,0.94,0.7899159663865546,"[[ 94   6]
 [ 44 247]]",0.9444444444444444,0.9428571428571428,0.9166666666666666,0.9295774647887323,0.9454545454545454,0.9629629629629629,0.9541284403669724,"[[208   8]
 [ 12 132]]"
4,mobilenet_gauss,0.8823529411764706,0.9693486590038314,0.8694158075601375,0.9166666666666666,0.7076923076923077,0.92,0.8,"[[ 92   8]
 [ 38 253]]",0.9222222222222223,0.9264705882352942,0.875,0.9,0.9196428571428571,0.9537037037037037,0.9363636363636363,"[[206  10]
 [ 18 126]]"
5,mobilenet_gauss,0.8670076726342711,0.9760956175298805,0.8419243986254296,0.9040590405904059,0.6714285714285714,0.94,0.7833333333333332,"[[ 94   6]
 [ 46 245]]",0.9222222222222223,0.9328358208955224,0.8680555555555556,0.8992805755395685,0.915929203539823,0.9583333333333334,0.9366515837104071,"[[207   9]
 [ 19 125]]"
6,mobilenet_gauss,0.8823529411764706,0.9693486590038314,0.8694158075601375,0.9166666666666666,0.7076923076923077,0.92,0.8,"[[ 92   8]
 [ 38 253]]",0.9166666666666666,0.9014084507042254,0.8888888888888888,0.8951048951048951,0.926605504587156,0.9351851851851852,0.9308755760368663,"[[202  14]
 [ 16 128]]"
7,mobilenet_gauss,0.8721227621483376,0.9762845849802372,0.8487972508591065,0.9080882352941176,0.6811594202898551,0.94,0.7899159663865546,"[[ 94   6]
 [ 44 247]]",0.9,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8947368421052632,0.9444444444444444,0.918918918918919,"[[204  12]
 [ 24 120]]"
8,mobilenet_gauss,0.8721227621483376,0.9688715953307393,0.8556701030927835,0.9087591240875912,0.6865671641791045,0.92,0.7863247863247863,"[[ 92   8]
 [ 42 249]]",0.9444444444444444,0.9428571428571428,0.9166666666666666,0.9295774647887323,0.9454545454545454,0.9629629629629629,0.9541284403669724,"[[208   8]
 [ 12 132]]"
9,mobilenet_gauss,0.8516624040920716,0.983402489626556,0.8144329896907216,0.8909774436090225,0.64,0.96,0.7679999999999999,"[[ 96   4]
 [ 54 237]]",0.9194444444444444,0.9197080291970803,0.875,0.896797153024911,0.9192825112107623,0.9490740740740741,0.9339407744874715,"[[205  11]
 [ 18 126]]"
10,mobilenet_gauss,0.8721227621483376,0.9762845849802372,0.8487972508591065,0.9080882352941176,0.6811594202898551,0.94,0.7899159663865546,"[[ 94   6]
 [ 44 247]]",0.9333333333333333,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9615384615384616,0.9259259259259259,0.9433962264150944,"[[200  16]
 [  8 136]]"
11,mobilenet_gauss,0.8823529411764706,0.9693486590038314,0.8694158075601375,0.9166666666666666,0.7076923076923077,0.92,0.8,"[[ 92   8]
 [ 38 253]]",0.9222222222222223,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.9351851851851852,0.9351851851851852,0.9351851851851852,"[[202  14]
 [ 14 130]]"
12,mobilenet_gauss,0.8721227621483376,0.9762845849802372,0.8487972508591065,0.9080882352941176,0.6811594202898551,0.94,0.7899159663865546,"[[ 94   6]
 [ 44 247]]",0.9472222222222222,0.9844961240310077,0.8819444444444444,0.9304029304029303,0.9264069264069265,0.9907407407407407,0.9574944071588366,"[[214   2]
 [ 17 127]]"
13,mobilenet_gauss,0.8772378516624041,0.9691119691119691,0.8625429553264605,0.9127272727272727,0.696969696969697,0.92,0.793103448275862,"[[ 92   8]
 [ 40 251]]",0.9388888888888889,0.9621212121212122,0.8819444444444444,0.9202898550724637,0.9254385964912281,0.9768518518518519,0.9504504504504505,"[[211   5]
 [ 17 127]]"
