base,acuracia-teste,precision-covid-teste,recall-covid-teste,f1-covid-teste,precision-non-covid-teste,recall-non-covid-teste,f1-non-covid-teste,conf-matrix-teste,acuracia-val,precision-covid-val,recall-covid-val,f1-covid-val,precision-non-covid-val,recall-non-covid-val,f1-non-covid-val,conf-matrix-val
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.9444444444444444,0.9626865671641791,0.8958333333333334,0.9280575539568345,0.9336283185840708,0.9768518518518519,0.9547511312217195,"[[211   5]
 [ 15 129]]"
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.9333333333333333,0.9054054054054054,0.9305555555555556,0.9178082191780821,0.9528301886792453,0.9351851851851852,0.9439252336448598,"[[202  14]
 [ 10 134]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9472222222222222,0.9370629370629371,0.9305555555555556,0.9337979094076655,0.9539170506912442,0.9583333333333334,0.9561200923787528,"[[207   9]
 [ 10 134]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9416666666666667,0.9624060150375939,0.8888888888888888,0.924187725631769,0.9295154185022027,0.9768518518518519,0.9525959367945823,"[[211   5]
 [ 16 128]]"
mobilenet_gauss,0.8465473145780051,0.9753086419753086,0.8144329896907216,0.8876404494382022,0.6351351351351351,0.94,0.7580645161290321,"[[ 94   6]
 [ 54 237]]",0.9361111111111111,0.935251798561151,0.9027777777777778,0.9187279151943463,0.9366515837104072,0.9583333333333334,0.9473684210526316,"[[207   9]
 [ 14 130]]"
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.9305555555555556,0.9473684210526315,0.875,0.9097472924187725,0.920704845814978,0.9675925925925926,0.9435665914221218,"[[209   7]
 [ 18 126]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9444444444444444,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.9375,0.9722222222222222,0.9545454545454546,"[[210   6]
 [ 14 130]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9472222222222222,0.9310344827586207,0.9375,0.9342560553633218,0.958139534883721,0.9537037037037037,0.9559164733178654,"[[206  10]
 [  9 135]]"
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.9416666666666667,0.912751677852349,0.9444444444444444,0.9283276450511946,0.9620853080568721,0.9398148148148148,0.9508196721311475,"[[203  13]
 [  8 136]]"
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444,"[[204  12]
 [ 12 132]]"
